mid,transaction_id,company,sender_id,email_timestamp,year,month,day,product_mrp,product_price,product_discount,product_quantity,product_total,product_shipping_fee,product_shipping_discount,order_subtotal,order_convenience_fee,order_delivery_fee,order_gift_wrapping_fee,order_cod_fee,product_pickup_fee,order_donation,order_discount,order_promotion_discount,order_exchange_discount,order_cashback,paid_with_wallet_balance,order_amount_paid,points_earned,premium_membership,premium_membership_type,order_payment_type,order_payment_currency,product_brand,product_name,product_category,product_subcategory_1,product_subcategory_2,seller_name,ott_purchase,ott_subscription_name,ott_subscription_amount,dth_purchase,dth_subscription_name,dth_subscription_amount,broadband_purchase,broadband_subscription_name,broadband_subscription_amount,delivery_address_postal_code,delivery_address_city,delivery_address_state,user_id,user_gender,user_age,user_dob,user_address_postal_code,user_address_city,user_address_state,user_address_country,user_device_brand,user_device_model,user_os_type,user_onboard_at,user_inactive_at
Copy of swiggy_107,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,99.00,,,,,,,,,,,,,,,,,,,,,,,,,Kwality Wall's Magnum Chocolate Truffle Ice Cream Stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_107,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,71.00,,,,,,,,,,,,,,,,,,,,,,,,,Crax Curls Chatpata Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_107,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,52.80,,,,,,,,,,,,,,,,,,,,,,,,,Nestle Munch Max Bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_108,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,134.00,,,,,,,,,,,,,,,,,,,,,,,,,Yellaki Banana (Njalipoovan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_109,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,158.00,,,,,,,,,,,,,,,,,,,,,,,,,Premium Pomegranate (Mathalam),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_109,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,Bisleri Extra Power Club Soda (Bottle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_109,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,56.00,,,,,,,,,,,,,,,,,,,,,,,,,Sambar Onion (Cheriyulli),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_109,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,300.00,,,,,,,,,,,,,,,,,,,,,,,,,Red Label  Brooke Bond Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_109,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,150.00,,,,,,,,,,,,,,,,,,,,,,,,,Elanadu Cup Curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_110,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,33.00,,,,,,,,,,,,,,,,,,,,,,,,,Flower Mix (Fresh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_110,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,Shevanti Flower Mix (Fresh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_111,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,CocaXXXXXCola Soft Drink bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_111,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,52.00,,,,,,,,,,,,,,,,,,,,,,,,,Arokya Toned Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_111,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,128.00,,,,,,,,,,,,,,,,,,,,,,,,,Cadbury Bournvita Chocolate Drink Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_112,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,88.80,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Fudge It Chocolate Brownie Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_112,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,Modern Sweet Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_112,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,31.00,,,,,,,,,,,,,,,,,,,,,,,,,Baby Banana (Baalehannu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_112,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,52.00,,,,,,,,,,,,,,,,,,,,,,,,,Haldiram's Nagpur Aloo Bhujia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_113,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,28.00,,,,,,,,,,,,,,,,,,,,,,,,,Indian Tomato (Tamatar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_113,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,195.00,,,,,,,,,,,,,,,,,,,,,,,,,Meatzza fresh chicken curry cut bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_113,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,51.00,,,,,,,,,,,,,,,,,,,,,,,,,Potato (Batate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_114,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,84.60,,,,,,,,,,,,,,,,,,,,,,,,,Nestle KitKat Crispy & Creamy 4 Finger Chocolate Coated Wafer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_114,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,80.00,,,,,,,,,,,,,,,,,,,,,,,,,BALAJI Crunchex Chilli Tadka Potato Wafers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_115,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,56.00,,,,,,,,,,,,,,,,,,,,,,,,,Amul Taaza Milky Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_115,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,55.00,,,,,,,,,,,,,,,,,,,,,,,,,Tata Tea Agni Strong Black Leaf Tea 10% Extra Strong Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_115,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,58.00,,,,,,,,,,,,,,,,,,,,,,,,,Amul Pasteurised Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_115,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,38.00,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Sandwich White Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of swiggy_116,,Swiggy,,2025-06-25T10:00:00,2025,6,25,,36.39,,,,,,,,,,,,,,,,,,,,,,,,,Indian Tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
